"centroid_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
1,-6,8,-6,8,11,-3,12,-9,13,-8,3,13,14,17,19,-2,-6,18,14,4,17,-3
2,-6,1,8,19,-7,15,11,-9,17,15,-6,6,16,17,3,8,-8,5,2,19,1,-7
3,4,9,-10,11,10,17,-1,16,10,14,6,-8,-7,16,0,14,11,16,12,15,14,0
4,16,-5,-9,-10,-5,-3,20,3,-10,-8,5,10,7,12,10,7,-10,16,14,0,-3,12
5,-8,3,5,-5,-1,5,10,12,-2,15,-8,8,0,18,-6,8,1,-9,18,13,-6,4
6,12,17,-8,0,-10,11,12,11,2,2,5,10,20,17,19,17,20,-6,-4,3,5,10
7,-8,7,12,8,6,20,12,19,6,-7,19,-8,-2,-2,-7,9,-10,13,-7,-9,4,20
8,17,18,0,-10,12,15,11,-4,-10,8,8,8,-4,19,-4,-4,7,-7,-3,-4,-1,-8
9,14,-5,20,-3,11,-4,3,18,10,15,-7,3,-4,-5,-5,16,14,14,20,-9,18,15
10,-6,4,13,8,-9,-8,19,14,14,20,-10,9,16,17,-10,19,-10,1,3,-8,-9,-2
