"lineage_id","passage","passage_weighted_ploidy","passage_cells"
"SA609_X10_l_10_d1_0_d2_0",1,2.78645626854613,389
"SA609_X10_l_10_d1_0_d2_0",2,2.70663996107932,243
"SA609_X10_l_10_d1_0_d2_0",3,2.62589318706695,171
"SA609_X10_l_10_d1_0_d2_0",4,2.51129063984005,294
"SA609_X10_l_10_d1_0_d2_0",5,2.45244069121666,313
"SA609_X10_l_10_d1_0_d2_0",6,2.48830872489678,359
"SA609_X10_l_10_d1_0_d2_0",7,2.48044711206303,313
"SA609_X10_l_10_d1_0_d2_0",8,2.51089872594572,66
"SA609_X10_l_10_d1_0_d2_0",9,2.49061012305409,505
"SA609_X10_l_10_d1_0_d2_0",10,2.49787497130331,590
"SA532_X9_l_8_d1_0_d2_0",1,2.60988120144513,165
"SA532_X9_l_8_d1_0_d2_0",2,2.55562340592798,171
"SA532_X9_l_8_d1_0_d2_0",3,2.49553242786268,576
"SA532_X9_l_8_d1_0_d2_0",4,2.53773359989279,417
"SA532_X9_l_8_d1_0_d2_0",5,2.45335359482613,232
"SA532_X9_l_8_d1_0_d2_0",7,2.43707189840715,125
"SA532_X9_l_8_d1_0_d2_0",8,2.46468036466104,250
"SA532_X9_l_8_d1_0_d2_0",9,2.48346266623448,464
"SA1035U_X8_l_5_d1_0_d2_0",4,1.76504326090546,529
"SA1035U_X8_l_5_d1_0_d2_0",5,1.76970753377463,423
"SA1035U_X8_l_5_d1_0_d2_0",6,1.74197900081672,339
"SA1035U_X8_l_5_d1_0_d2_0",7,1.77067457179941,100
"SA1035U_X8_l_5_d1_0_d2_0",8,1.77065436309252,624
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",5,2.7750299429894,242
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",6,2.81196419754371,321
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",7,2.80412929916427,446
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",8,2.91184556274175,305
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",9,2.9390513323319,197
