label,datasetname,timepoint,sample_id,library_ids,uid,parent,PDX_id,on_treatment,x,y
p53 WT,SA039U,X25,SA039,A73044B,1,,SA039,n,X0,0
p53 WT,SA039U,X51,SA039,A73047D,2,3,SA039,n,X2,0
p53 WT,SA039U,X30,SA039,A96199B,3,1,SA039,n,X1,0
p53 WT,SA039U,X60,SA039,A96226B,4,2,SA039,n,X3,0
p53-/- a,SA906a,X57,SA906,A96146A,5,12,SA906,n,X7,1
p53-/- b,SA906b,X55,SA906,A96149B,6,18,SA906,n,X8,-1
p53-/- b,SA906b,X40,SA906,A96155B,7,8,SA906,n,X5,-1
p53-/- b,SA906b,X35,SA906,A96172B,8,14,SA906,n,X4,-1
p53-/- a,SA906a,X30,SA906,A96175C,9,16,SA906,n,X4,1
p53-/- a,SA906a,X10,SA906,A96180B,10,,SA906,n,X1,0
p53-/- a,SA906a,X40,SA906,A96183C,11,9,SA906,n,X5,1
p53-/- a,SA906a,X50,SA906,A96186A,12,11,SA906,n,X6,1
p53-/- a,SA906a,X15,SA906,A96210C,13,10,SA906,n,X2,1
p53-/- b,SA906b,X30,SA906,A96211C,14,15,SA906,n,X3,-1
p53-/- b,SA906b,X20,SA906,A96215A,15,10,SA906,n,X2,-1
p53-/- a,SA906a,X25,SA906,A96216A,16,13,SA906,n,X3,1
p53-/- b,SA906b,X45,SA906,A96220B,17,7,SA906,n,X6,-1
p53-/- b,SA906b,X50,SA906,A96228B,18,17,SA906,n,X7,-1
TNBC-SA1035 UnRx,SA1035U,X4,SA1035X4XB02879,A95626A;A95646A,19,,SA1035,n,X4,0
TNBC-SA1035 Rx,SA1035T,X5,SA1035X5XB03015,A95623A,20,19,SA1035,y,X5,1
TNBC-SA1035 UnRx,SA1035U,X5,SA1035X5XB03021,A95731B,21,19,SA1035,n,X5,0
TNBC-SA1035 Holiday,SA1035H,X6,SA1035X6XB03209,A95646B;A95730A,22,20,SA1035,n,X6,2
TNBC-SA1035 Rx,SA1035T,X6,SA1035X6XB03211,A95653B,23,20,SA1035,y,X6,1
TNBC-SA1035 UnRx,SA1035U,X6,SA1035X6XB03216,A95623B,24,21,SA1035,n,X6,0
TNBC-SA1035 Rx,SA1035T,X7,SA1035X7XB03338,A96178B,25,23,SA1035,y,X7,1
TNBC-SA1035 Holiday,SA1035H,X7,SA1035X7XB03340,A96178A;A98305A,26,23,SA1035,n,X7,2
TNBC-SA1035 UnRx,SA1035U,X7,SA1035X7XB03502,A98290B,27,24,SA1035,n,X7,0
TNBC-SA1035 Holiday,SA1035H,X8,SA1035X8XB03420,A98299B,28,25,SA1035,n,X8,2
TNBC-SA1035 Rx,SA1035T,X8,SA1035X8XB03425,A98282A;A98283A,29,25,SA1035,y,X8,1
TNBC-SA1035 UnRx,SA1035U,X8,SA1035X8XB03631,A98253A;A98256A,30,27,SA1035,n,X8,0
HER2+,SA532,X1,SA532X1XB00118,A96157C,31,,SA532,n,X1,0
HER2+,SA532,X2,SA532X2XB00147,A96165A,32,31,SA532,n,X2,0
HER2+,SA532,X3,SA532X3XB00210,A96186C;A96179B,34,32,SA532,n,X3,0
HER2+,SA532,X4,SA532X4XB00273,A95732B,35,34,SA532,n,X4,0
HER2+,SA532,X5,SA532X5XB00478,A96174B,36,35,SA532,n,X5,0
HER2+,SA532,X7,SA532X7XB01216,A96177B,37,36,SA532,n,X7,0
HER2+,SA532,X8,SA532X8XB01398,A96145A,38,37,SA532,n,X8,0
HER2+,SA532,X9,SA532X9XB02755,A96162B,39,38,SA532,n,X9,0
TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X10,SA535X10XB03693,A118869A,40,52,SA535,n,X10,2
TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X10,SA535X10XB03696,A118869B,41,52,SA535,y,X10,1
TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X5,SA535X5XB02895,A96233A,42,,SA535,n,X5,0
TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X6,SA535X6XB03099,A98285A,43,42,SA535,n,X6,0
TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X6,SA535X6XB03101,A98253B;A98256B,44,42,SA535,y,X6,1
TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X7,SA535X7XB03304,A108833B;A108851B,45,44,SA535,y,X7,1
TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X7,SA535X7XB03305,A108757B;A108768B,46,44,SA535,n,X7,2
TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X7,SA535X7XB03448,A108870A,47,43,SA535,n,X7,0
TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X8,SA535X8XB03431,A108837A;A108863A,48,45,SA535,y,X8,1
TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X8,SA535X8XB03434,A108879A,49,45,SA535,n,X8,2
TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X8,SA535X8XB03664,A108759B,50,47,SA535,n,X8,0
TNBC-SA535 Holiday,SA535_CISPLATIN_CombinedH,X9,SA535X9XB03616,A98168B,51,48,SA535,n,X9,2
TNBC-SA535 Rx,SA535_CISPLATIN_CombinedT,X9,SA535X9XB03617,A98168A;A98244A,52,48,SA535,y,X9,1
TNBC-SA535 UnRx,SA535_CISPLATIN_CombinedU,X9,SA535X9XB03776,A118845B,53,50,SA535,n,X9,0
TNBC-SA609 UnRx Line 1,SA609,X10,SA609X10XB02454,A96219B,54,88,SA609,n,X10,-3
TNBC-SA609 UnRx Line 1,SA609,X1,SA609X1XB00290,A96172A,55,,SA609,n,X1,0
TNBC-SA609 UnRx Line 1,SA609,X2,SA609X2XB00426,A96149A,56,55,SA609,n,X2,0
TNBC-SA609 UnRx Line 1,SA609,X3,SA609X3XB01584,A95724A,57,56,SA609,n,X3,0
TNBC-SA609 Rx Line 1,SA000,X4,SA609X4XB003083,A95720A,58,57,SA609,y,X4,0
TNBC-SA609 UnRx Line 1,SA609,X4,SA609X4XB01721,A95664B,59,57,SA609,n,X4,-3
TNBC-SA609 UnRx Line 1,SA609U1,X4,SA609X4XB01722,A110618B,60,57,SA609,n,X4,-4
TNBC-SA609 UnRx Line 2,SA609UnBU,X4,SA609X4XB03080,A95675A,61,57,SA609,n,X4,5
