"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.721596262202978,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.744751135963644,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.785980484384412,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.795065016045742,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.802948651171626,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.777011917267177,TRUE,FALSE,0
"2.2.2.2.2.2.1.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.783433805218486,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.694456293664589,TRUE,FALSE,0
"2.2.2.4.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.641571543250846,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.3.2.2.1.2.2.2",0.783266518585179,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.652535346683968,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.676860049153002,TRUE,FALSE,0
"2.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.64914322835395,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2",0.551070853806273,TRUE,FALSE,0
"2.2.2.2.2.3.1.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.735933297072515,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.1.1.2.2.2.2.2.1.2.2.2",0.811211240337243,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2",0.735852984760747,TRUE,FALSE,0
"1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.741561498594174,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2.2",0.725574154170478,TRUE,FALSE,0
"2.2.2.4.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2",0.560755977826544,TRUE,FALSE,0
"1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.1.2",0.685198404052427,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2",0.629650206126381,TRUE,FALSE,0
"2.1.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.734755473943587,TRUE,FALSE,0
"1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.1.2",0.637569679928418,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2",0.701659804642279,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2.2",0.696195550592,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.3.2.2",0.774286339345417,TRUE,FALSE,0
"2.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",0.645929330230458,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.1.2.2.2.2",0.763592116791265,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.3.2.2.1.3.2.2",0.772877793511925,TRUE,FALSE,0
"2.2.1.4.3.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2",0.657342798304125,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.2.2.3.2.2.3.2.2.2.2",0.676263592025899,TRUE,FALSE,0
"2.2.2.3.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.647993822585778,TRUE,FALSE,0
"2.2.3.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2.2",0.700388660736535,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.2.2.3.2.2.3.2.2.3.2",0.712265837830246,TRUE,FALSE,0
"2.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.711058103223286,TRUE,FALSE,0
"2.2.2.2.1.2.1.2.2.2.2.2.1.2.2.3.2.2.1.3.2.2",0.741597493047672,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.2.1.2.2.3.2.2.1.2.2.2",0.817673033058584,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2",0.779617237128049,TRUE,FALSE,0
"2.2.1.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.683450784348467,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2",0.719778629743205,TRUE,FALSE,0
"2.3.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.703733093547058,TRUE,FALSE,0
"2.2.2.2.2.3.1.3.2.2.2.2.1.2.2.2.2.2.2.3.2.2",0.708747093889437,TRUE,FALSE,0
"1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2",0.734231211124188,TRUE,FALSE,0
"2.2.1.4.2.2.2.2.2.2.2.2.3.2.3.2.2.3.2.2.3.2",0.613621520067145,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.2.1.2.2.2.2.1.2.2.2.2.2",0.657571406795267,TRUE,FALSE,0
"2.2.1.4.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2",0.61496417908079,TRUE,FALSE,0
"2.2.2.2.2.3.1.3.2.2.2.2.2.2.2.2.2.2.2.3.2.2",0.69588647803715,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.3.2.2.1.1.2.2.2.2.2.1.2.2.2",0.82247674143172,TRUE,FALSE,0
"2.2.1.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.711605039284894,TRUE,FALSE,0
"3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.714229112278537,FALSE,TRUE,38
